<<<<<<< HEAD
﻿report_id,category,latitude,longitude,timestamp,user_grade,user_weight,ai_confidence,status,extracted_text
RPT-2026-000,위험 운전,34.9658985811842,127.47938101460316,2026-04-01 19:01:52.000000,Iron,1.0,0.0,신규,
RPT-2026-001,불법 주차,34.96866789194413,127.47943374197166,2026-04-01 19:29:16.000000,Silver,1.5,0.7566126843877101,신규,
RPT-2026-002,위험 운전,34.96595324457433,127.4809451825016,2026-04-01 19:12:44.000000,Iron,1.0,0.0,신규,
RPT-2026-003,재난,34.96878287104336,127.47813199325743,2026-04-01 19:36:27.000000,Gold,2.0,0.0,신규,
RPT-2026-004,위험 운전,34.969801331267135,127.48010777555737,2026-04-01 19:08:04.000000,Iron,1.0,0.0,신규,
RPT-2026-005,시설물 파손,34.9676968288727,127.48408605446691,2026-04-01 19:13:04.000000,Iron,1.0,0.0,신규,
RPT-2026-006,공사 구역,34.96937498002816,127.47714592724597,2026-04-01 19:06:18.000000,Platinum,3.0,0.0,신규,
RPT-2026-007,공사 구역,34.96504475532511,127.47599709835556,2026-04-01 19:37:52.000000,Gold,2.0,0.0,신규,
RPT-2026-008,재난,34.96546071974226,127.47617129476072,2026-04-01 19:16:25.000000,Bronze,1.2,0.0,신규,
RPT-2026-009,교내 위험물,34.96843829082289,127.48315390555756,2026-04-01 18:48:32.000000,Bronze,1.2,0.0,신규,
RPT-2026-010,불법 주차,34.96687706008269,127.47593819500271,2026-04-01 18:50:12.000000,Bronze,1.2,0.7712196655652539,신규,
RPT-2026-011,공사 구역,34.96839032163876,127.48472060726549,2026-04-01 19:28:47.000000,Iron,1.0,0.0,신규,
RPT-2026-012,재난,34.968319490651616,127.48198420313862,2026-04-01 19:30:33.000000,Bronze,1.2,0.0,신규,
RPT-2026-013,공사 구역,34.965040267228495,127.48346073033615,2026-04-01 19:06:11.000000,Silver,1.5,0.0,신규,
RPT-2026-014,재난,34.968169132415944,127.47604508488654,2026-04-01 19:33:28.000000,Gold,2.0,0.0,신규,
RPT-2026-015,시설물 파손,34.96560861832148,127.48483550844072,2026-04-01 19:29:50.000000,Iron,1.0,0.0,신규,
RPT-2026-016,재난,34.96953834655697,127.48416188817397,2026-04-01 19:16:30.000000,Platinum,3.0,0.0,신규,
RPT-2026-017,공사 구역,34.96947434977314,127.47821124444192,2026-04-01 18:59:05.000000,Bronze,1.2,0.0,신규,
RPT-2026-018,공사 구역,34.966173081856994,127.47640487611227,2026-04-01 18:47:30.000000,Silver,1.5,0.0,신규,
RPT-2026-019,위험 운전,34.96866216715717,127.48078907651397,2026-04-01 19:16:09.000000,Platinum,3.0,0.0,신규,
RPT-2026-020,공사 구역,34.96633507548614,127.47548167602332,2026-04-01 19:35:04.000000,Silver,1.5,0.0,신규,
RPT-2026-021,재난,34.96522923824357,127.48109468909941,2026-04-01 19:08:39.000000,Gold,2.0,0.0,신규,
RPT-2026-022,재난,34.96793064668971,127.47624019650581,2026-04-01 19:06:14.000000,Silver,1.5,0.0,신규,
RPT-2026-023,재난,34.965602549266755,127.4780637566765,2026-04-01 19:26:02.000000,Silver,1.5,0.0,신규,
RPT-2026-024,위험 운전,34.96856734478919,127.48417092024667,2026-04-01 18:45:42.000000,Platinum,3.0,0.0,신규,
RPT-2026-025,공사 구역,34.965818641335666,127.48029157677992,2026-04-01 19:24:29.000000,Bronze,1.2,0.0,신규,
RPT-2026-026,교내 위험물,34.969447371061584,127.4793452480567,2026-04-01 18:43:54.000000,Platinum,3.0,0.0,신규,
RPT-2026-027,재난,34.96629761932828,127.47523346641255,2026-04-01 18:44:36.000000,Bronze,1.2,0.0,신규,
RPT-2026-028,위험 운전,34.96590695935616,127.48231531001842,2026-04-01 19:09:06.000000,Silver,1.5,0.0,신규,
RPT-2026-029,시설물 파손,34.96584886113796,127.48142934618662,2026-04-01 18:49:26.000000,Silver,1.5,0.0,신규,
RPT-2026-030,공사 구역,34.96682029102343,127.48070184116082,2026-04-01 18:50:25.000000,Silver,1.5,0.0,신규,
RPT-2026-031,공사 구역,34.96894733209736,127.4816438388395,2026-04-01 19:13:32.000000,Gold,2.0,0.0,신규,
RPT-2026-032,시설물 파손,34.966695485532604,127.48101259606602,2026-04-01 19:38:34.000000,Platinum,3.0,0.0,신규,
RPT-2026-033,시설물 파손,34.96566578709322,127.47992288196268,2026-04-01 19:00:09.000000,Silver,1.5,0.0,신규,
RPT-2026-034,불법 주차,34.96628024375813,127.47520055333608,2026-04-01 18:49:32.000000,Bronze,1.2,0.5956345348066057,신규,
RPT-2026-035,재난,34.9670118241291,127.4847766362813,2026-04-01 19:24:07.000000,Silver,1.5,0.0,신규,
RPT-2026-036,위험 운전,34.96638416559271,127.4833179048149,2026-04-01 19:38:07.000000,Iron,1.0,0.0,신규,
RPT-2026-037,시설물 파손,34.96619060750593,127.4807679336452,2026-04-01 19:34:05.000000,Bronze,1.2,0.0,신규,
RPT-2026-038,불법 주차,34.96827423471905,127.47624496973935,2026-04-01 19:21:40.000000,Iron,1.0,0.5021498762796706,신규,
RPT-2026-039,교내 위험물,34.96887429193598,127.48144840680315,2026-04-01 18:46:59.000000,Iron,1.0,0.0,신규,
